century|n. 世纪，一百年，成百的东西
unhealthy|adj. 不健康的，不卫生的，病态的，危险的
uneasy|adj. 不自在的, 心神不安的, 不稳定的, 不舒服的
understand|vt. 理解, 闻知 vi. 理解, 相信, 表示同情
undersea|adj. 海底的 adv. 在海面下(=underseas)
underneath|adv. 在下面 n. 下部, 底部 prep. 在...下面
underground|adj. 地下的, 秘密的 adv. 在地下, 秘密地 n. 地下, 地铁, 地道, 秘密活动
under|prep. 在...下,在...内,在...控制下,低于 adv. 在...下,在昏迷中,淹没地 adj. 下面的,从属的,少于的
uncooked|adj. 未煮过的, 未烹调过的
uncle|n. 伯, 姑父, 舅, 叔, 姨父
umbrella|n. 伞,保护伞 vt. 用伞遮住
um|int. 嗯
UK|n. 英国
type|n.类型； 铅字； （印刷或打印的）文字； 于...类型的 vt.& vi.打字 vt.[医学]测定（血型）； 按类型把...归类； 成为...的典型； [印刷]浇铸（铅字等）
two|num. 二，两个
story|n. 故事,叙述 vt. 以历史事件为图案装饰
twin|n.孪生儿之一，双胞胎之一； 两个相像的人或物之一； 孪晶； 双人床 vt.尤用于英国)使结成姊妹城市； 使（两人或两事物）紧密结合； 使偶合； 使相连 adj.成对的； 成双的； 双重的； 双联的
twice|adv. 两倍, 两次
twenty|adj. 二十,20,20
twentieth|n. 二十分之一 num.&amp;adj. 第二十
twelve|adj. 十二,12,12
twelfth|adj. 第十二的, 十二分之一的 n. 第十二, 十二日, 第十二音
TV|abbr. (=television) 电视, 电视机
turning|n. 旋转, 回转, 转向
turn|vt.& vi.使转动； 旋转； 使改变方向； 使不适 vt.使变酸； 使变换； 使变为 n.翻转； （路线或方向的）改变； 机会
turkey|n. (Turkey)土耳其,火鸡,笨蛋,失败之作
Tuesday|n. 星期二
try|n. 尝试,试验 vt. 审理,尝试,试验 vi. 尝试
truth|n. 事实,确实,真理,现实
true|adj. 确切的,可靠的,真实的,正确的,正式的 adv. 笔直地,事实地 n. 真相,精确 vt. 使...平衡
truck|n. 卡车,对...进行交易,来往,实物工资 vt.对...进行交易,交往,以卡车运输 vi.驾驶卡车,以物易物
trouble|n. 困扰,麻烦,困难,故障 vt.& vi. 困扰,麻烦
trip|n. 旅行,摔倒,差错,轻快的步伐 vt. 使跌倒,使犯错,使失败,起锚,竖帆 vi. 轻快地走,绊倒,失误,结巴,旅行
tree|n. 树
treat|v. 对待, 治疗，处理，请客，视为 n. 款待，宴飨
traveller|n. 旅行者 =traveler（美）
travel|n.旅行,移动 vi. 旅行,传播,移动 vt. 横贯
trap|n. 圈套,陷阱,困境,双轮轻便马车 vt. &vi. 设圈套,设陷阱
transportation|n. 运输, 运输系统, 运输工具
translate|vt. 翻译；转化；解释；转变为；调动 vi. 翻译
training|n. 训练
train|n. 火车,行列;裙裾 vt. 训练,教养 vi. 练习
traffic|n.交通，运输量； （非法的）交易； 通信量； 交际 vt.用...作交换； 在...通行 vi.交易； 买卖
traditional|adj. 传统的
trade|n. 贸易,商业,交易,行业,同行,手工艺,主顾,(复数)信风 vi. 做生意,购物,交换 vt. 用某物交换,做买卖 adj. 商业的,专业性的,同行的
tractor|n. 拖拉机,牵引车 n. 螺旋桨飞机
track|n. 小路, 跑道, 轨道, 踪迹; 惯例, 常规 v. 跟踪, 追踪
toy|n. 玩具,小玩意儿 adj. 供玩耍的,体型小的 vi. 漫不经心地做,戏弄
town|n. 城镇,城市
tower|n. 塔,高楼,堡垒 vi. 屹立,超越
towards|prep. 朝, 向
tourist|adj. 旅游的 n. 旅游者,观光者
toss|n. 投掷, 震荡 v. 投掷, 摇荡, 辗转
Toronto|n. 多伦多(加拿大城市)
topic|n. 题目, 话题, 主题
top|n. 顶端, 极点, 盖子, (女式)上衣, 最高地位, 陀螺 adj. 最高的, 顶上的, 最一流的 vt. 高耸, 加以顶盖, 超越, 上升到顶端 vi. 得出结论, 到达顶峰
tooth|n. 牙齿
tool|n. 工具,用具,受人利用的人,印压的图案 vt. 驾驶,用工具加工,印压图案于 vi. 驾驶,用工具加工
too|adj. 太, 过于, 也, 还 adv. 也
tonight|n.&amp;adv. 今晚
tomorrow|adv. 明天 n. 明天,将来
tomb|n. 坟墓 vt. 埋葬
tomato|n. 西红柿
Tokyo|n. 东京(日本首都)
toilet|n. 厕所, 卫生间 n. 梳洗打扮,礼服,创口洗涤 vi. 打扮,使用厕所 vt. 穿衣服,帮助孩子或病人使用厕所
tofu|n. 豆腐
toe|n. 脚趾,足尖 vt. 趾触,趾踢 vi. 踮着脚尖走
today|n.&amp;adv. 今天
those|pron.&amp;adj. 那些
this|adj. &pron. 这,这个
thirty|num. 三十
thirteen|num. 十三
thirsty|adj. 口渴的, 渴望的
third|adj. 第三(的) n. 三分之一 num. 第三
think|vt.想； 思索； 以为； 看待 vi.思辩； 考虑； 构想； 回忆 adj.深思的； 供思考的 n.想； 想法
thing|n. 东西, 事情
thin|adj. 瘦的,稀少的 adv. 薄,细,瘦,稀薄(的) vt.& vi. (使)变薄
thief|n. 贼,小偷
thick|adj. 厚的,浓密(重)的,笨的 adv. 厚,浓,密 n. 密集处,最厚处
they|pron. 他们
these|adj.&pron. 这些
there|adv.在那里； 那里； 在那一点上 pron.表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语） int.（表示满足、烦恼）你瞧，好啦，得啦
then|adv. 那么, 当时，然后，于是 adj. 当时的
themselves|pron. 他(她, 它)们自己
them|pron. 他(她, 它)们
theirs|pron. 他(她, 它)们的
their|adj. 他们的,它们的 pron. 他(她,它)们的
theatre|n. 剧场, 戏院
the|adv. [用于比较级,最高级前] art. 这(那),这(那)些
that|pron. 那 adj. 如此的, 上文提到的, 特定的 adv. 非常 conj. 引导宾语从句等从句
thanks|int. 谢谢 n. 谢谢(只用复数)
thankful|adj. 感谢的，感激的
thank|vt.谢谢，感谢； 责怪，把...归于 n.感谢，谢谢，道谢的话
than|conj.比（用于比较级）； 宁愿...而不愿； 除...以外； 一...就 prep.超过； 比
textbook|n. 课本, 教科书
terrorist|n. 恐怖分子
terrific|adj. 极好的,非常的,极度的
terrible|adj. 可怕的,糟糕的,极其的
term|n.学期； 条款； 术语； 期限 vt.把...称为； 把...叫做
tent|n. 帐篷 vt.& vi. 住帐篷,宿营
tennis|n. 网球
ten|num. 十, 十个
temple|n. 庙宇,寺院 n.太阳穴
temperature|n. 温度,发烧
tell|vt. 告诉,说,知道,认出,计数 vi. 讲述,告发,作证,产生效果
telephone|n.电话； 电话机； （电话机的）话筒； 受话器 vt.& vi.以电话传送（消息），给（某人）打电话； 用电话与（某人）交谈
telegraph|n. 电报, 电报机 vt. 打电报, 显示
technology|n. 技术,工艺(学)
tear|n. 眼泪,撕破的(洞或裂缝),撕扯 vt. 撕掉,扯下,扰乱 vi. 流泪,撕破
teapot|n. 茶壶
teamwork|n. 合作, 协同工作
team|n. 队,组 vt. 协同工作 vi. 结成一队 adj. 团队的
teacher|n. 教师
teach|vt. 教,教书,教导，教训 vi. 给予指导
tea|n.茶.茶叶.茶树.茶点 vt.给.....沏茶 vi.喝茶.进茶点
TB|abbr. 肺结核(=tuberculosis）
taxi|n. 计程车，出租汽车 v. 用出租车运送，乘计程车，（飞机）滑行
taste|n. 味道,品味,味觉,尝试 vt. 尝到甜头, 尝试, 有...味道的 vi. 品尝, 体验
task|n. 工作,任务 vt. 交给某人（任务)
tape|n. 录像带, 录音带, 磁带, 胶带 vt. 用带子捆起, 给...录音 vi. 录音
tall|adj. 高的
talk|n. 谈话,会谈,讲话, 闲话 vt. 说, 谈论, 商讨 vi. 说闲话, 招供, 开口说话, 闲聊
take|vt.拿，取； 采取； 接受（礼物等）； 耗费（时间等） vi.拿； 获得 n.镜头； 看法； 收入额； 场景
tailor|n. 裁缝师,成衣匠 vt. 缝制,适应,试穿,修改 vi. 做裁缝
tail|n. 尾部, 后部, 侍从, 屁股, 硬币反面, 跟踪者 adj. 在后面的, 从后面而来的 vt. 连结, 除去尾巴, 装尾巴 vi. 附于其后, 尾随, 逐渐消失
table|n. 桌子, 平地层, 石板, 表格 vt. 搁置, 嵌合, 制表 adj. 桌子的
symbol|n. 符号, 标志, 象征
Sydney|n. 悉尼(澳大利亚东南部一城市)
Switzerland|n. 瑞士
Swiss|adj. 瑞士的 n. 瑞士人
swimming|n. 游泳 adj. 会游泳的，游泳的 动词swim的现在分词
swim|游泳
sweet|adj. 甜(蜜)的,新鲜的,可爱的,悦耳的 n. 糖,甜(点),令人高兴的东西 adv. 甜蜜地
sweep|vt. 扫除,拂去,掠过,席卷,扫视,全胜 vi. 打扫,席卷,昂首阔步地走,连绵,全胜 n. 扫除,席卷,搜寻,挥动,范围,风帆,(竞赛中)全胜,连绵一片,赌金
Swedish|adj. 瑞典的,瑞典人的,瑞典语的 n. 瑞典人,瑞典语
Sweden|n. 瑞典
sweater|n. 毛衣,出汗者
swallow|n. 燕子, 吞咽, 一次吞咽的量 vt. 吞下, 咽下, 忍受, 不流露感情, 收回 vi. 咽口水, 忍气吞声
survey|n. 调查; 纵览, 视察, 测量 vt. 审视, 视察, 通盘考虑, 调查; 勘测 vi. 测量, 勘测
surprise|n. 惊奇, 使惊讶的人或事物 vt. &vi. 使惊奇, 突击, 逮捕
surfing|n. 冲浪运动
surfer|n. 冲浪者
surf|n. 海浪拍岸,冲浪 vi. 冲浪,浏览 vt. 浏览
sure|adj. 确信, 必然的, 必定的 adv. 当然, 确实地, 无疑地
suppose|vt.假定； 猜想，推测； 认为； 让（用于祈祷语气） vi.想象，猜想
supper|n. 晚餐,晚饭
supermarket|n. 超级市场
superlative|adj. 最上的, 无比的, 过度的 n. 最高级的言辞, 极致, 完璧
sunshine|n. 阳光
sunny|adj. 阳光充足的,晴朗的,明媚的
sunglasses|n. 墨镜(太阳镜)
Sunday|n. 星期日
sun|n. 太阳,阳光,中心人物,像太阳般的东西 vt.& vi. 晒太阳
summer|adj. 夏季的 n. 夏天, 全盛期, 年 vi. 度过夏天 vt. 在夏天保存或存放, 放(羊/牛)
suitable|adj. 合适的, 适宜的
suit|n. 套装, 诉讼, 请求 v. 适合, 取悦, 满足
suggest|vt. 建议,暗示,要求
sugar|n. 糖 vt. 使甜,使具有吸引力 vi. 形成糖状,变成颗粒状,造枫糖浆
suffer|vt. 遭受,忍受,允许 vi. 忍受,经历
suddenly|adv. 突然地
such|adj. 如此的,这样的 pron. 这样的 adv. 如此地
success|n. 成功,发财，胜利，成功者，成功的事物
subject|n. 科目, 主题; 缘由 n. (君主国)国民; 实验对象 adj. 服从的, 易患的 vt. 使隶属, 使服从; 使遭遇
stupid|adj. 愚蠢的,笨拙的，麻木的，无趣味的 n. 傻瓜
study|n. 学习,研究,学科,沉思,书房 vt. 读书,计划,研究,记忆,调查 vi. 学习,研究,沉思
student|n. 学生
strong|adj. 强壮的, 牢固的, 坚定的, 坚强的, 强烈的, 浓的
striker|n. 罢工者，(足球)前锋，钟锤
stress|n. 紧张, 压力 v. 强调, 着重 vt. 强调 n.负载
street|n. 街道 adj. 街道的
strange|adj. 陌生的, 奇怪的
straight|adj. 直的, 准的, 正直的, 坦率的, 连续的 adv. 直接, 笔直地, 平正了, 坦率的, 连续不断地 n. 直的东西, 传统的人
store|n. 商店,贮藏,仓库 vt. 储存,贮藏,供给,保存 adj. 储备的 (在计算机里)存贮；记忆
stop|n. 停止,车站,滞留,阻挡 vt. 停止,制止,塞住 vi. 停止,停留,结束
stomachache|n. 胃痛 vi. 肚子痛
stocking|n. 长袜
Stockholm|n. 斯德哥尔摩(瑞典首都)
stir|n. 感动(激动,愤怒或震动), 搅拌, 骚乱 vt. 激起,惹起,搅和 vi. 挪动, 活动, 离开, 搅拌, 激动
still|adj. 静止的, 不动的, 静寂的 adv. 仍然,更,静止地 conj. 然而,但是 vi. 变沉默 vt. 使冷静, 抓住, 使停止, 使放松 n. 沉默, 定格照, 酒厂
stick|vt.& vi.粘贴； 张贴； 插入； 刺入 vt.容忍； 产生作用； （尤指迅速或随手）放置； 阻延或推迟 n.棍棒，棍枝； 枝条； 操纵杆； 球棍
step|n. 步骤,步伐,踏级 vt. 踏,以步测量
steer|v. 引导, 驾驶, 航行, 掌舵 n. (肉用的)小公牛, 暗示
steep|adj. 险峻的, 陡峭的, (价格)过高的 vt. &vi. 浸泡,浸透, 使精通 n. 陡坡, 险峻的境地
steam|vt. 蒸，散发；用蒸汽处理 n. 蒸汽；精力 vi. 蒸，冒水汽 adj. 蒸汽的
steal|vt.偷； 悄悄地做，悄悄地走； 潜行； 不正当的获得 vi.偷； 偷偷地行动：秘密、不显明地行动、发生或消失； [棒球]偷垒 n.偷窃； 便宜货； 便宜货
stay|n. 停留,停止;依靠,忍耐力;撑条 vt. 等待,坚持到底 vi. 保持,停留,留宿
station|n. 车(站),位置,姿势,地位 vt. (配)安置
statement|n. 声明, 陈述
start|n.开始； 动身； 开动； 起点 vt.& vi.出发，启程 vt.起动； 提出（问题）； 开办； 使开始 vi.起始； 突然出现； 突然跳起； 突然涌出
star|n. 星, 明星 v. 以星状物装饰, 变成演员
stand|n. 站立,停顿,楼台,货摊 vi. 站立,位于，停滞 vt. 忍受,使站立
stamp|n. 印,邮票,打印器 vt. 捺印,顿足,贴上邮票
stairway|n. 楼梯
square|n. 正方形,街区,平方，广场 adj. 正方形的,正直的,公正的,结实的 vt. 使...成方形,调整，一致 vi. 符合 adv. 成直角,直接的,正方形地
sprout|n. 芽, 萌芽 v. 使发芽, 长芽
spring|n. 春天, 弹簧, 弹跳, 泉水, 投射 vt. 弹起, 使喷涌, 越过, 弹出, 释放, 发生, 跳, 裂开 vi. 射出, 涌入(出), 发芽, 长高
spread|n. 传布, 伸展 adj. 扩延的 v. 传布, 推广, 伸出
sport|n. 运动,游戏,娱乐,玩笑,大度的人 adj. 运动的,休闲的 vt. &vi. 游戏,戏弄,炫耀
spoon|n. 匙,匙形的铲子 vt. 以匙舀起
spoil|n. 战利品, 奖品 v. 宠坏, 溺爱, 破坏, 腐坏
spit|n. 唾液, 唾吐, 小雨 v. 唾吐, 吐出, 降小雨
spirit|n. 精神
spill|vt.& vi.溢出； 泼出； 涌出； 蜂拥而出 n.洒出； 泼出； 溢出；小塞子
spend|v. (spent,spent) 花费,浪费,度过
spell|v. 拼写，缓慢地或吃力地读 n. 魅力，符咒 vt. 用符咒镇住(某人) n. 一段时间，轮班 v. 轮班，休息
speed|n. 速度,迅速,感光度,超速 vt. 加速,催促,促进 vi. 超速,加速,进展
special|n. 专辑,专车,特色菜,特价,特刊 adj. 特别的,专门的
speaker|n. 说话者, 发言者, 说某种语言者, 扬声器
speak|vt. 说,声明,表现 vi. 说话,交谈,表达,发出声音
Spain|n. 西班牙
spade|n. 铲子, 铁锹, 在扑克牌中指黑桃 v. 铲 vt. (用铲子)铲
spaceship|n. 宇宙飞船
space|n. 位置, 空间, 距离, 太空, 空地, 持续的一段时间 vt. &vi. 均匀隔开, 分隔
south|adj. 南方的 adv. 在南方 n. 南,南方
sour|adj. 酸的,腐坏的,抑沉的,刻薄的 vt. &vi. 变酸,变乖戾,腐坏
soup|n. 汤,羹,困境
sound|vt. 听（诊）；测量，测...深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地 vi. 听起来；发出声音；回响；测深
so|adv. 如此,如是,同样 conj. 所以,因此 adj. 真的 pron. 这样
sorry|adj.对不起的； 无价值的，低等的； 遗憾的； 感到伤心的
soon|adv. 不久, 很快
song|n. 歌曲, 歌唱艺术, 诗歌
sonata|n. 奏鸣曲
son|n. 儿子
somewhere|adv. 在某处，到某种程度，大约，差不多
sometimes|adv. 有时
sometime|adj. 以前的, 某一时间 adv. 改天, 来日
something|pron.某事(物), 某东西
someone|pron. 某人, 有人
someday|adv.有朝一日
somebody|pron. 某人, 有人 n. 重要人物
some|adj. 一些,少许,某一 adv. 大约, 在某种程度上 pron. 一些,一部份,若干
solve|v. 解答(难题),解决 vt. 解答,解决
soldier|n. 士兵, 军人
soil|n. 土地,土壤 v. 弄脏,(使)变脏 vi. 变脏 vt. 弄脏
software|n. 软件
sock|n. 短袜,喜剧,猛击 vt.& vi. 重击,痛打
society|n. 社会, 社团，阶层圈子
soccer|n. 英式足球
soap|n. 肥皂 vt. 用肥皂洗,阿谀奉承
snowy|adj. 多雪的, 被雪所覆盖著的, 下雪的
snowman|n. 雪人
snow|n. 雪,似雪花的东西,粉状物,下雪 vi. 下雪 vt. 像雪一般落下,使雪白,欺骗
snake|n. 蛇 vt.& vi. 蜿蜒,扭曲
smoke|n. 烟, 无常的事物, 抽烟 v. 吸烟, 以烟熏, 冒烟
smog|n. 烟雾
smile|n. 微笑,喜色 vt. 微笑,微笑地表示, 以微笑完成 vi. 微笑, 赞许, 一笑而过
smelly|adj. 有使人难受的气味的,臭的
smell|n. 味道,气味,嗅 vt. 闻,探出,发臭 vi. 闻,发臭
small|adj. 小的,少的 adv. 些许地 n. 狭小部分
slowly|adj. 慢慢地 adv. 缓慢地
slow|adj. 慢的 adv. 慢慢地 vt.& vi. 放慢,减速
slipper|n. 拖鞋
sleep|n. 睡眠,静止,睡意 v. 睡觉,睡眠,静止
sky|n. 天空 v. 把...投向空中，将...高挂
skirt|n.裙子； 边缘； （连衣裙、外衣等的）下摆； （车辆或机器基座的）挡板 vt.& vi.位于...的边缘； 沿...的边缘走； 绕开； 避开,避开
skin|n.皮，皮肤； （蔬菜，水果等）外皮； 毛皮 vt.剥皮，削皮； 擦破皮，擦伤； 欺骗 vi.使愈合，长皮 adj.<俚>色情的
skeleton|n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑 adj. 骨骼的
skate|n. 冰鞋 v. 滑冰 vi. 溜冰, 滑冰
size|n. 尺寸, 大小 vt. 按大小排列(或分类) adj. 一定大小的 vt. 用...填充(某物)
six|n.六；六个；六岁；六点 num.六；六个
situation|n. 位置, 形势, 局面, 处境, 状况, 职位
sitting|n. (...的)一段时间, (分批开饭的)一批 n. 法庭的开庭 adj. 孵卵的，坐着的，易击中的，现任的 动词sit的现在分词
sit|vt. 坐,担任,开会,孵 vi. 坐,孵 n. 坐
sister|n. 姐妹，护士长
sir|n. 先生
sink|n. 接收端,沟渠,污水槽,散热器 vi. 下沉,下落,陷于,倾斜,恶化,渗透 vt. 下沉,陷于,倾斜,减少
single|adj. 单身的,单纯的,单一的 n. 单程票,单曲,单人房,单身者 vt. 单独挑出 vi. (棒球)作一垒打
singer|n. 歌手,鸣禽 n. 烧毛工,烧毛机 Singer: 辛格(姓氏)
sing|vt. 唱,鸣唱,用诗赞美,叫,响 vi. 唱歌 n. 合唱
since|adv. 后来 conj. 既然,因为,自从 prep. 自从
similar|adj. 相似的,类似的,相同,一样
silk|adj. 丝的 n. 丝, 绸
silently|adv. 沉默地, 寂静地
silent|adj. 安静的,不吵闹的,沉默的,无言的 n. (复数)默剧
sign|n. 符号, 正负号, 手势, 迹象, 招牌 v. 签, 做手势, 做标记
side|n. 旁边,侧,方面 adj. 旁的,侧的 vt. 支持,同意 vi. 支持
sick|adj. 恶心的, 有病的, 腻烦的, 晕的 n. 病人, 呕吐物 vt.追逐, 攻击; 唆使
shy|adj. 害羞的,胆怯的,迟疑的 vi. 惊退,畏缩,乱投 vt. 乱投 n. 投掷,惊避
shut|adj. 关闭的,合拢的,围绕的 vt. 关上，防止进入，禁闭，合上，停止或中止 vi. 关闭，停止或中止 n. 关闭
showery|adj. 阵雨的, 多雨的
shower|n. 阵雨,淋浴 vi. 倾盆而下,淋浴 vt. 淋湿,下骤雨,使(大量东西)落在某人身上
show|n. 显示,表现,表演,事情 vt. &vi. 表示,显现,展现,指示
shout|n. 呼喊,突发的大叫 vt. 高声呼喊，呼叫 vi. 呼叫，突然喊叫
shoulder|n. 肩膀, 角度, 交接处 vt. 肩负,承担,用肩推挤 vi. 用肩推挤
should|verb auxiliary. 应该,竟然,可能
shot|n.射手，击球； 开枪，发射； 企图； 注射 adj.闪色的，颜色会变化的； 交织的； 渗透的； （俚语）坏透了的，筋疲力尽的 vt.射中，射击； 给...装弹； 注射； 抛出 vi.发射，射击； 突然出现 v.拍摄(shoot的过去式和过去分词)； 射杀； 开（枪或其他武器）； 打猎
short|adj. 短的,矮的,短暂的 n. 短裤 adv. 短暂地;突然地
shopping|n. 购物，买东西 动词shop的现在分词形式
shop|n. 商店 vi. 购物,寻找 vt. 购物,逛商店
shoot|n. 射击,芽,发射 vt. 射击,发出,发芽 vi. 飞驰
shoe|n. 鞋
shocked|adj. 震惊的,震撼的
shirt|n. 衬衫
ship|n. 船,舰,船员,飞船 vt. 以船运送,乘船,运送,进水,在船上工作 vi. 上船,坐船,运送,在船上工作
shine|n. 光泽, 阳光, 光辉, 喜欢 vt. 使发光, 照射在...上, 擦亮 vi. 发光, 表现出众, 闪耀着
shepherd|n. 牧羊者, 牧师, 指导者 v. 看守, 领导, 指导
shellfish|n. 贝,甲壳类动物
shelf|n. 架子,搁板(状物),岩棚
sheep|n. 羊, 绵羊
she|pron. 她
sharpener|n. 研磨者, 削的人, 研磨工具
shark|n. 鲨鱼,贪婪的人,老手
share|n. 部份,股份,分担,犁头 vt. 分享,共有,分配 vi. 分享
shape|n. 形状,形式,定形,身材 vt. 定形,使...成形,塑造
shall|aux. 应该；会；将要；必须
sex|n. 性,性别,性欲 vt. 区别...性别,引起...性欲
severely|adv. 严重地(艰难地, 紧凑地, 纯朴地)
several|adj. 几个,各自的 pron. 若干
