visit|v.拜访；参观；闲谈; n.拜访；参观；聊天
beat|v.打；打败；跳动；敲打；战胜; n.拍子；敲打；心跳声; adj.精疲力尽的
thousands|n.数千
embarrassed|adj.尴尬的；拮据的；局促不安的
symbol|n.符号；象征；标志
August|adj.（a~）威严的；尊贵的; n.八月
shook|n.(装配木桶或箱；盒等的)一套现成板料; shake的过去式.
fear|n.担心；害怕；恐惧；【中药学】相畏; v.害怕；担心；恐惧
pronunciation|n.发音；读音
got it|知道了
bless you|祝福你
Brazil|n.巴西
horses|n.马（名词horse的复数形式）; v.骑马；捉弄（动词horse的第三人称单数形式）
glasses|n.眼镜；双筒镜; 名词glass的复数形式.
pounds|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
pick|v.拾；捡；挑选；采摘；找茬；偶然学到; n.拾；捡；选择；采摘；精华; n.鹤嘴锄；镐；琴拨
coach|n.教练；经济舱；(火车)客车车厢；四轮马车; v.指导；训练
valley|n.山谷；溪谷；流域
May|aux.可以，能够；可能，也许；祝，愿；会，能; n.[大写]五月
March|n.行军；行进；游行示威；稳步前进；进行曲; v.行进；前进；进发；使同行；游行示威; March; n.三月
season|n.季节；赛季；旺季；时期; v.给...调味；适应；风干
fourteenth|num.第十四; n.十四分之一；每月的第十四天
bow|n.弓；鞠躬礼；蝴蝶结；船头; v.鞠躬；致敬；压弯
climate|n.气候；风气
occur|vi.发生；存在；出现；想到
seize|v.抓住；夺取；利用；没收
confirm|v.证实；批准；确定
relief|n.减轻；解除；轻松；浮雕；救济(品)；安慰；替代; adj.提供救济的；文本的
luggage|n.行李

|【曾经记错过的词】=======================
annual
graduate
joke
Wednesday
announce
field
anxious
pleasure
bridge
engineer
fill
afraid
college
reason
license
america
pocket
wheel
separate
poem
turtle
magazine
please
humorous
communication
necessary
hate
European
information
modest
autograph
press
notice
ticket
underground
biology
cruel
pull
similar
public
dumpling
cousin
society
social
excellent
although
tired
right
disabled
traditional
disable
character
festival
fit
lifestyle
expect
beat
tomorrow
vegetable
thousands
embarrassed
assistant
pity
lazy
aloud
laboratory
silver
offend
natural
unpleasant
laugh
material
phrase
dismiss
cross
cream
symbol
couple
calm
scene
specific
quick
problem
flee
succeed
danger
twice
library
program
injure
waste
string
Saturday
standard
conference
certain
nervous
breath
specially
absent
promise
exercise
woman
own
spend
owner
rich
October
September
August
April
February
January
shook
infinitive
shake
rural
fire
trade
fear
pronunciation
got it
quite
quiet
than
Brazilian
then
bless you
Brazil
horses
glasses
pounds
upstairs
spread
mountain
opportunity
beyond
pleasant
opportunity
passenger
consider
foreign
unimportant
spirit
major
opinion
build
watermelon
elementary
important
final
stream
deal
increase
province
repair
pick
special
accept
medicine
discuss
peace
coach
model
furniture
object
quality
continue
medicine
purpose
district
strict
with
straight
dialogue
hallway
total
guide
hurt
nature
heart
pressure
breakfast
supply
terrible
plastic
diary
convenient
punish
cotton
specifically
documentary
count
deal
pleasure
sure
treasure
bulb
storm
suitable
interest
specifically
firm
clerk
enjoy
soldier
they
design
strategy
result
marriage
rule
dangerous
medium
across
cheer
guilty
ancient
rapid
expensive
conjunction
entertainment
importance
attitude
strict
stress
energy
whole
share
compare
crazy
happy
valley
wife
dollar
private
hen
travel
December
November
May
June
July
March
labor
west
instance
business
girlfriend
people
ugly
suggest
slide
course
topic
review
divide
restaurant
correct
should
treat
treatment
heaven
still
season
illness
fourteenth
worse
eastern
iron
effort
century
recent
beside
pronoun
sugar
size
furry
impossible
possible
daughter
everywhere
board
value
environment
bush
busy
abroad
essay
salad
grammar
cigarette
elder
thief
weight
complain
third
early
empty
activity
us
achieve
aim
tourist
silent
scientist
connect
neither
fetch
search
deaf
thought
discussion
chopsticks
Paris
bow
October
awful
film
criticize
chopsticks
sign
toast
seldom
aggressive
misleading
gym
hole
therefore
climate
occur
seize
pressure
prepare
firm
confirm
court
relief
luggage

